Address	County	OldPrice	NewPrice	Date
25 BLESSINGTON ORCHARD, BLESSINGTON, WICKLOW	Wicklow	276,000.00	311880	04/01/21
25 CUIL AN ATH, BARNA, GALWAY	Galway	385,000.00	361900	04/01/21
25 MARINEGATE, BELMONT, COBH	Cork	222,000.00	304140	04/01/21
27 Beresford Avenue, Donabate, County Dublin	Dublin	345,132.75	348584.0775	04/01/21
3 COLLEGE RD, ENNIS, CO CLARE	Clare	245,000.00	303800	04/01/21
3 EMMET TERRACE, NAVAN, MEATH	Meath	165,000.00	165000	04/01/21
3 KILLOSSERY, ROWLESTOWN, DUBLIN	Dublin	378,000.00	502740	04/01/21
3 OLD COURT, BANDON, CORK	Cork	90,000.00	88200	04/01/21
3 RACEHILL LODGE, RACE HILL, ASHBOURNE	Meath	535,000.00	700850	04/01/21
3 WOODVIEW HOUSE, GLENALBYN RD, STILLORGAN	Dublin	252,000.00	342720	04/01/21
38 Sika Woods, Kilgarron, Enniskerry	Wicklow	716,121.00	837861.57	04/01/21
38 SLIABH RUA WOODHILL, MOATE, WESTMEATH	Westmeath	172,000.00	215000	04/01/21
4 Ard na Si, Mohill	Leitrim	165,000.00	201300	04/01/21
40 GALVONE RD D, KENNEDY PARK, LIMERICK	Limerick	118,000.00	160480	04/01/21
40 ISLAND RD, LIMERICK	Limerick	100,000.00	119000	04/01/21
42 CARTRUN BREAC, LISBRACK, LONGFORD	Longford	99,500.00	125370	04/01/21
43 ASHLAWN PARK, BALLYBRACK, COUNTY DUBLIN	Dublin	330,000.00	458700	04/01/21
5 RIVERCOURT, GRATTAN QUAY, WATERFORD	Waterford	100,000.00	93000	04/01/21
6 RIVERCOURT, GRATTAN QUAY, WATERFORD	Waterford	100,000.00	106000	04/01/21
6 Whitethorn Lawn, Whitethorn Village, Naas	Kildare	299,559.46	353480.1628	04/01/21
66 Willow Drive, The Willows, Old Dublin Road	Meath	288,986.78	364123.3428	04/01/21
7 ALLAGHAUN VIEW, TOURNAFULLA	Limerick	56,100.00	69003	04/01/21
7 NORTONS AVE, PHIBSBOROUGH, DUBLIN 7	Dublin	386,000.00	374420	04/01/21
8 DANESFORT COURT, LOUGHREA, GALWAY	Galway	210,000.00	243600	04/01/21
8 THE COPSE, MILLERSBROOK, NENAGH	Tipperary	233,000.00	212030	04/01/21
82 River Crescent, Virginia	Cavan	201,761.00	207813.83	04/01/21
85 BELMAYNE PARK SOUTH, BALGRIFFIN, PARK SOUTH DUBLIN 13	Dublin	335,000.00	318250	04/01/21
9 LAUREL AVE, LONGFORD, LONGFORD	Longford	210,000.00	243600	04/01/21
93 BALLYFERMOT CRESCENT, DUBLIN 10, DUBLIN	Dublin	45,000.00	47700	04/01/21
APT. 1 BLOCK A, RUSHBROOK HOTEL, COBH	Cork	52,500.00	57750	04/01/21
APT. 3 BLOCK A, RUSHBROOKE HOTEL, COBH	Cork	52,500.00	50925	04/01/21
ARDAROSTIG HOUSE, BISHOPSTOWN, CORK	Cork	325,000.00	344500	04/01/21
BALLAGH, MENLOUGH, BALLINASLOE	Galway	86,000.00	115240	04/01/21
BARROWHALL, MOUNTGARRET, NEW ROSS	Wexford	4,320,000.00	5918400	04/01/21
CLOGHANBEG, CLOGHAN, CO DONEGAL	Donegal	130,000.00	137800	04/01/21
COURTDALE, BUTLERSLAND, NEW ROSS	Wexford	240,000.00	304800	04/01/21
DERRYNAGALLION, ARIGNA, CARRICK ON SHANNON	Roscommon	27,500.00	25575	04/01/21
DOYLES BARN, THE QUAY, NEW ROSS	Wexford	2,300,000.00	3197000	04/01/21
DROMDERAOWN, GLENGARRIFF, CO CORK	Cork	439,600.00	404432	04/01/21
DRUMARD, CLOONAGH, COUNTY SLIGO	Sligo	80,000.00	85600	04/01/21
GREATDOWN, THE DOWNS, MULLINGAR	Westmeath	280,000.00	268800	04/01/21
KENNEDY PLAZA, THE QUAY, NEW ROSS	Wexford	3,200,000.00	3552000	04/01/21
KILKITTANE, WHITEGATE, CLARE	Clare	165,000.00	176550	04/01/21
LISIEUX HOUSE, TURBOTSTOWN, COOLE	Westmeath	260,000.00	299000	04/01/21
LLORET, LOUGHATALIA, MIDLETON	Cork	420,000.00	449400	04/01/21
MAULBRACK, SKIBBEREEN, CO CORK	Cork	115,000.00	146050	04/01/21
NEWTOWNBALREGAN, DUNDALK, LOUTH	Louth	205,000.00	280850	04/01/21
PREMISES, MAIN STREET, BONMAHON	Waterford	105,000.00	130200	04/01/21
RAHEEN, KILMEADEN, WATERFORD	Waterford	87,500.00	114625	04/01/21
RATHBRACK, KELLS, MEATH	Meath	465,000.00	553350	04/01/21
SUNHILL, TERMONFECKIN, DROGHEDA	Louth	120,000.00	110400	04/01/21
THE SALTINGS, SEAFIELD RD, BLACKROCK	Louth	255,000.00	334050	04/01/21
1 DUNKERRON WOOD, DUNKERRON, KENMARE	Kerry	235,000.00	213850	05/01/21
1 LOUGHSILLAN LODGE, SHERCOCK, CO CAVAN	Cavan	137,000.00	134260	05/01/21
1 RIVERVIEW, TURLOUGH VILLAGE, CASTLEBAR	Mayo	125,000.00	122500	05/01/21
10 LA MARE, ST AMULLEN, MEATH	Meath	227,000.00	281480	05/01/21
10 Maglin Green, Ballincollig, Co. Cork	Cork	346,255.51	484757.714	05/01/21
10 MOUNTTOWN VILLAS, MOUNTTOWN LOWER, GLENAGEARY	Dublin	435,000.00	582900	05/01/21
11 Carraig Beag, Ballynerrin	Wicklow	361,233.48	505726.872	05/01/21
11 HARTES COURTYARD, CLONAKILTY, CORK	Cork	1,750,000.00	1942500	05/01/21
12 MARINE WALK, MARINE ROAD, DN LAOGHAIRE	Dublin	389,427.00	451735.32	05/01/21
12 MCDONAGH AVE, JANESBORO, LIMERICK	Limerick	120,000.00	147600	05/01/21
12 SHENICK RD, SKERRIES, DUBLIN	Dublin	415,000.00	527050	05/01/21
129 Clonlara, Kerry Pike	Cork	414,096.00	513479.04	05/01/21
13 CASEMENT AVE, TRALEE, KERRY	Kerry	93,000.00	106950	05/01/21
13 NEWTOWN PARK, TRAMORE	Waterford	610,000.00	780800	05/01/21
14 Walker Green, Parkside, Balgriffin	Dublin	343,612.00	415770.52	05/01/21
15 CAISIL UR, RAHOON, KNOCKNACARRA	Galway	320,000.00	310400	05/01/21
15 DUN NA MARA, DOONBEG, CLARE	Clare	120,000.00	129600	05/01/21
16 CLEEVAUN, NAAS, KILDARE	Kildare	350,000.00	360500	05/01/21
16 COIS BAILE DROMIN RD, LISTOWEL, KERRY	Kerry	179,000.00	177210	05/01/21
16/17 HENRY STREET, OTHERWISE O' BRIEN STREET, TIPPERARY TOWN	Tipperary	58,000.00	64960	05/01/21
17 Walker Green, Parkside, Balgriffin	Dublin	345,814.00	418434.94	05/01/21
18 CELLA ROW, CHURCH HILL MEADOWS, RAHEEN	Limerick	270,000.00	369900	05/01/21
18 DRYNAM CRESCENT, DRYNAM HALL, KETTLE'S LANE	Dublin	427,500.00	406125	05/01/21
185 CLONSILLA ROAD, BLANCHARDSTOWN, DUBLIN 15	Dublin	350,000.00	364000	05/01/21
2 CHAPEL ST, TULLAMORE, OFFALY	Offaly	126,000.00	149940	05/01/21
26 HILL ROAD, CLOGHAN, COUNTY OFFALY	Offaly	130,000.00	137800	05/01/21
26 NEW RD, BIRR, OFFALY	Offaly	100,000.00	123000	05/01/21
27 ROWAN HOUSE, MESPIL ESTATE, SUSSEX RD DUBLIN 4	Dublin	229,000.00	212970	05/01/21
29 CHERRYWOOD GROVE, CLONDALKIN, DUBLIN 22	Dublin	250,000.00	287500	05/01/21
29 FOXES GROVE, SHANKILL, DUBLIN	Dublin	520,000.00	483600	05/01/21
3 HARELAWN PARK, CLONDALKIN, DUBLIN 22	Dublin	230,000.00	246100	05/01/21
3 Leana Theas, Cappagh Road, Galway	Galway	356,828.19	403215.8547	05/01/21
3 SLIABH RUA, DRUMLISH, LONGFORD	Longford	197,000.00	181240	05/01/21
30 WOODVALE RD, BEAUMONT, CORK	Cork	405,000.00	530550	05/01/21
34 ORBY PARK, THE GALLOPS, LEOPARDSTOWN DUBLIN 18	Dublin	850,000.00	986000	05/01/21
36 EALLAGH, HEADFORD, CO GALWAY	Galway	245,000.00	257250	05/01/21
36 TheOaks, Ballinahinch Wood, Ashford	Wicklow	312,774.81	434756.9859	05/01/21
37 Millquarter, Knockmullen, Gorey	Wexford	268,800.00	309120	05/01/21
4 CORBALLY AVE, WESTBROOK LAWNS, DUBLIN 24	Dublin	38,000.00	36480	05/01/21
41 HAYWORTH TERRACE, ONGAR, CLONSILLA	Dublin	285,000.00	347700	05/01/21
47 BLACKROCK AVE, EDEN, BLACKROCK	Cork	360,000.00	417600	05/01/21
49 COOLEVIN PARK, COOSAN, ATHLONE	Westmeath	246,000.00	228780	05/01/21
5 GLENCARRIG, GLENEALY, WICKLOW	Wicklow	700,000.00	644000	05/01/21
50 MCDERMOTT TERRACE, MANORHAMILTON, LEITRIM	Leitrim	85,000.00	78200	05/01/21
52 Graydon Crescent, Graydon, Newcastle	Dublin	348,017.61	487224.654	05/01/21
52 MOERAN RD, OFF CROMWELLSFORD RD, WALKINSTOWN	Dublin	320,000.00	355200	05/01/21
52 The Park, Janeville, Carrigaline	Cork	273,128.00	330484.88	05/01/21
55 HILLBROOK WOODS, BLANCHARDSTOWN, DUBLIN 15	Dublin	208,000.00	191360	05/01/21
55 MILLBOURNE DRIVE, SLANE ROAD, ASHBOURNE	Meath	345,000.00	458850	05/01/21
7 THE LASK, GOREY, WEXFORD	Wexford	407,000.00	451770	05/01/21
7 UPPER MAIN ST, CAPPOQUIN, MAIN ST	Waterford	90,000.00	99900	05/01/21
7THORNDALE CLOSE, KINGSCOURT, CAVAN	Cavan	120,000.00	136800	05/01/21
8 HAMPTON WOOD LAWN, HAMPTON WOOD, FINGLAS	Dublin	240,000.00	220800	05/01/21
8 UPPER CHURCH ST, TIPPERARY, TIPPERARY	Tipperary	82,000.00	113160	05/01/21
86 LOWER MAIN STREET, ARKLOW, CO WICKLOW	Wicklow	175,000.00	171500	05/01/21
APT 13 AMHRA HOUSE, BOTHAR NA MBAN, WOODQUAY	Galway	160,000.00	156800	05/01/21
APT 1, 4 DUBLIN ST, CARLOW	Carlow	90,000.00	115200	05/01/21
APT 3A, WELLESLEY COURT, CLANCY STRAND	Limerick	197,500.00	191575	05/01/21
ARDOUGHAN, BALLINA, CO MAYO	Mayo	250,000.00	345000	05/01/21
BALLINTAGGERT, VIA CALLAN, CO KILKENNY	Kilkenny	70,000.00	84700	05/01/21
BALLYCORMACK, MUINE BHEAG, CO. CARLOW	Carlow	140,000.00	190400	05/01/21
CAHERPUCA BALLYGLUNIN, TUAM, GALWAY	Galway	250,000.00	342500	05/01/21
CASTLEFREKE COTTAGE, LONG STRAND, CLONAKILTY	Cork	222,500.00	231400	05/01/21
CAVAN UPPER, KILLYGORDON, DONEGAL	Donegal	230,000.00	269100	05/01/21
COILLARD, CAPPADUFF, TOURMAKEADY	Mayo	82,000.00	100040	05/01/21
CREGG, OUGHTERARD, CO GALWAY	Galway	140,000.00	172200	05/01/21
CROSSREAGH, BALLYHAISE, CAVAN	Cavan	232,500.00	285975	05/01/21
CURRAKILLANE, GLENGARRIFF, CO CORK	Cork	100,000.00	124000	05/01/21
DERNACONG, BALLYHAUNIS, CO MAYO	Mayo	120,000.00	123600	05/01/21
DROMAHOE, DROMAGH, MALLOW	Cork	70,000.00	95900	05/01/21
DRUMDERRY COTTAGE, DRUMDERRY, BUNCLODY	Wexford	200,000.00	242000	05/01/21
HAWTHORN LODGE, FAUGHTS LANE, CO SLIGO	Sligo	415,000.00	444050	05/01/21
JOCSVILLE, 3 HARTLANDS AVE, GLASHEEN RD	Cork	236,000.00	236000	05/01/21
KILAHARD, BLACKWATER, ENNISCORTHY	Wexford	300,000.00	279000	05/01/21
LISAVALLEY, TUAM, GALWAY	Galway	230,000.00	216200	05/01/21
MARLINSTOWN, MULLINGAR, WESTMEATH	Westmeath	420,000.00	571200	05/01/21
MUING WEST, UPPER OAKPARK, TRALEE	Kerry	140,000.00	148400	05/01/21
REENARD SOUTH, CAHERCIVEEN, KERRY	Kerry	135,000.00	137700	05/01/21
THE GLEN, KINSALE, CORK	Cork	300,000.00	303000	05/01/21
1 SCARTEEN ST, NEWMARKET, CORK	Cork	70,000.00	83300	06/01/21
111 EXCHANGE HALL, BELGARD SQ NORTH, TALLAGHT DUBLIN 24	Dublin	171,000.00	171000	06/01/21
113 ARDLEA RD, ARTANE, DUBLIN 5	Dublin	340,000.00	387600	06/01/21
122 LYMEWOOD MEWS, NORTHWOOD, SANTRY DUBLIN 9	Dublin	265,000.00	320650	06/01/21
13 The View, Oldbridge Manor, Drogheda	Meath	246,696.00	239295.12	06/01/21
13 WILLOW WOOD, BALLISODARE, SLIGO	Sligo	165,000.00	188100	06/01/21
135 PRIORGATE, TALLAGHT DUBLIN 24, DUBLIN	Dublin	230,000.00	255300	06/01/21
14 Gandon Place, Gandon Park, Lucan	Dublin	383,259.00	486738.93	06/01/21
14 The Avenue, Ros Mor, Kilmallock Road	Limerick	242,290.74	232599.1104	06/01/21
163 AYLMER PARK, NAAS, CO KILDARE	Kildare	277,000.00	288080	06/01/21
17 MILLRACE GREEN, SAGGART, DUBLIN	Dublin	210,000.00	275100	06/01/21
17 THE CLIOSTERS, ABBEYDORNEY, TRALEE	Kerry	138,000.00	180780	06/01/21
17 THE WAY, LEDWILL PARK, KILCOCK	Kildare	273,127.75	325022.0225	06/01/21
18 ARDMORE CRESCENT, ARTANE, DUBLIN 5	Dublin	380,600.00	468138	06/01/21
18 Brookfield, Malahide	Dublin	682,819.38	867180.6126	06/01/21
2 BARRACK HILL, BELTURBET, CO CAVAN	Cavan	79,000.00	73470	06/01/21
2 CASTLEVIEW, CROSFARNOGUE, KILMORE QUAY	Wexford	151,000.00	173650	06/01/21
2 KINGSWOOD VIEW, BELGARD RD, TALLAGHT DUBLIN 24	Dublin	290,000.00	333500	06/01/21
2 MILEHOUSE MEWS, ENNISCORTHY, WEXFORD	Wexford	65,000.00	91000	06/01/21
2 Poddle View, Poddle Park, Kimmage	Dublin	440,528.00	444933.28	06/01/21
21 Cluain Bui, Quinagh, CARLOW	Carlow	181,650.00	165301.5	06/01/21
23 BRACKEN LEA, LETTERKENNY, DONEGAL	Donegal	252,000.00	345240	06/01/21
24 MAPLE DR, DROGHEDA, LOUTH	Louth	225,000.00	207000	06/01/21
25 THE CRESCENT, GREENVALLEY, CORK	Cork	278,000.00	305800	06/01/21
27 CASTLEFIELD, STONEBRIDGE, DROMAHAIR	Leitrim	147,000.00	147000	06/01/21
29 Bothar Na Mias, Kinvara	Galway	308,370.00	320704.8	06/01/21
29 TEMPLE VIEW GRV, CLAREHALL, DUBLIN 13	Dublin	350,000.00	434000	06/01/21
3 Doire Fea, Kilrainey, Moycullen	Galway	303,900.00	300861	06/01/21
3 TOWNPARKS, GLACK, LONGFORD	Longford	157,000.00	166420	06/01/21
32 SKELLIGS COURT, BLANCHARDSTOWN, DUBLIN 15	Dublin	320,000.00	310400	06/01/21
33 Sika Woods, Kilgarron, Enniskerry	Wicklow	469,860.00	634311	06/01/21
34 RIALTO ST, DUBLIN 8, DUBLIN	Dublin	332,000.00	322040	06/01/21
36 CRUAGH CLOSE, STEPASIDE, DUBLIN	Dublin	460,000.00	575000	06/01/21
39 RINGFOOT AVE, BALROTHERY, DUBLIN	Dublin	206,000.00	238960	06/01/21
4 BROOKSIDE, DOUGHCLOYNE, CORK	Cork	322,000.00	405720	06/01/21
4 Shackleton Links, Shackleton Park, Lucan	Dublin	400,000.00	424000	06/01/21
42 AIDAN PARK, SHANNON, CLARE	Clare	143,000.00	188760	06/01/21
42 The Lawn, Janeville, Cork Road	Cork	325,991.00	329250.91	06/01/21
42, Seoid Na Tra, Bettystown	Meath	284,141.00	377907.53	06/01/21
45 FOXHOLLOW, Golf Links Road, Castletroy	Limerick	528,634.36	623788.5448	06/01/21
47 BESSBOROUGH AVE, NORTH STRAND, DUBLIN 3	Dublin	277,500.00	380175	06/01/21
48 ASHTOWN GROVE, NAVAN ROAD, DUBLIN 7	Dublin	560,000.00	632800	06/01/21
48 The Way, Ledwill Park, Kilcock	Kildare	281,938.00	352422.5	06/01/21
5 THE LODGE, CASTLEDARGAN, BALLYGAWLEY	Sligo	249,000.00	336150	06/01/21
51 GRIFFITH HALL, GLANDORE RD, DUBLIN 9	Dublin	305,000.00	396500	06/01/21
53 NEWTOWN PARK, ANNACOTTY, LIMERICK	Limerick	227,000.00	206570	06/01/21
54 BELTON PARK RD, DONNYCARNEY, DUBLIN 9	Dublin	446,000.00	575340	06/01/21
54 CARRICK FERN, CAVAN, CAVAN	Cavan	233,000.00	226010	06/01/21
6 AN SRAIDE BHAILE, SHANAVOHER BEEWNG, CORK	Cork	192,500.00	217525	06/01/21
6 NEWHAVEN CLOSE, BALBRIGGAN, DUBLIN	Dublin	207,000.00	252540	06/01/21
67 CLONLIFFE RD, BALLYBOUGH, DUBLIN 3	Dublin	620,000.00	855600	06/01/21
7 CAIRNBROOK VIEW, CAIRNBROOK, CARRICKMINES DUBLIN 18	Dublin	422,000.00	455760	06/01/21
7 GLENABO HEIGHTS, FERMOY, CO CORK	Cork	298,500.00	286560	06/01/21
7 WAINSFORT GROVE, TERENURE, DUBLIN 6W	Dublin	605,000.00	617100	06/01/21
7 WESTMINSTER WOOD, FOXROCK, DUBLIN 18	Dublin	436,714.00	454182.56	06/01/21
72 HOME VILLAS, DONNYBROOK, DUBLIN 4	Dublin	506,000.00	465520	06/01/21
75 Abboyyfield, Ballinagappa Road, Clane	Kildare	396,475.77	523348.0164	06/01/21
8 PARKMORE, BALTINGLASS, CO WICKLOW	Wicklow	120,000.00	129600	06/01/21
9 DEAN COGAN PLACE, KELLS RD, NAVAN	Meath	231,000.00	323400	06/01/21
95 MEADOW PARK, CHURCHTOWN UPPER, CHURCHTOWN DUBLIN 14	Dublin	498,000.00	502980	06/01/21
APT 1 1 THE EMPRESS PLACE, SUMMER HILL NORTH, CORK	Cork	400,000.00	504000	06/01/21
APT 40 THE GROVE, CLARION ROAD, SLIGO	Sligo	74,000.00	89540	06/01/21
AULLAGH, DUNMANWAY, CORK	Cork	290,000.00	394400	06/01/21
CARBERY HOUSE, MOUNT ALEXANDER, GOREY	Wexford	335,000.00	328300	06/01/21
CARRIGEEN, CONNA, MALLOW	Cork	220,000.00	209000	06/01/21
COOSAN POINT ROAD, ATHLONE, COUNTY WESTMEATH	Westmeath	165,000.00	196350	06/01/21
DERRYREEL, FALCARRAGH, CO. DONEGAL	Donegal	245,000.00	333200	06/01/21
FAHA, CLOGHANE, CASTLEGREGORY	Kerry	201,000.00	231150	06/01/21
GALTEE VIEW, CAPPAMORE, LIMERICK	Limerick	114,000.00	135660	06/01/21
GURTNASCARRY, DOON RD, CAPPAMORE	Limerick	330,000.00	429000	06/01/21
JULIAN COTTAGE, CURRAGHTOWN, BROWNSTOWN	Meath	300,000.00	381000	06/01/21
KILGEVRIN, TUAM, GALWAY	Galway	239,000.00	303530	06/01/21
KILTUBBER, RAHUGH, KILBEGGAN	Westmeath	147,500.00	169625	06/01/21
LEES COTTAGE, BALLYMORE WEST, BOYLE	Roscommon	120,000.00	121200	06/01/21
LISBALTING, KILSHEELAN, CLONMEL	Tipperary	215,000.00	208550	06/01/21
MAIN STREET, CLONMELLON, COUNTY WESTMEATH	Westmeath	160,000.00	174400	06/01/21
MAIN ST, GURTEEN, SLIGO	Sligo	65,000.00	78650	06/01/21
NO 1, THE WHITEHOUSE, ANNAGASSAN	Louth	130,000.00	135200	06/01/21
No 23, The Way, Ledwill Park	Kildare	295,200.00	342432	06/01/21
NO 7 SAWGRASS, THE HERITAGE, KILLENARD  PORTARLINGTON	Laois	315,000.00	324450	06/01/21
OAKLEY HOUSE, COOTEHILL ROAD, CAVAN	Cavan	205,000.00	235750	06/01/21
RINGRONE, KINSALE, CO CORK	Cork	975,000.00	936000	06/01/21
ROSSULONGAN, DONEGAL TOWN, CO DONEGAL	Donegal	130,000.00	163800	06/01/21
SHRULE, COUNTY MAYO	Mayo	60,000.00	57000	06/01/21
ST MARY'S, LAYTOWN, CO MEATH	Meath	1,200,000.00	1176000	06/01/21
THE COTTAGE, BALLINAMONA, HOSPITAL	Limerick	160,000.00	166400	06/01/21
1 Aylesbury, Ballintemple	Cork	634,361.00	723171.54	07/01/21
1 GEOFFREY KEATING RD, DUBLIN 8, DUBLIN	Dublin	380,000.00	440800	07/01/21
1 PADDY GUINEY TERRRACE, NEWMARKET, COUNTY CORK	Cork	81,000.00	89100	07/01/21
1 THE DIAMOND HOUSE, BELTURBET, COUNTY CAVAN	Cavan	127,500.00	122400	07/01/21
10 CINNAMON WHARF, WESTPORT, MAYO	Mayo	165,000.00	199650	07/01/21
10 OLD CHURCH COURT, CLONDALKIN, DUBLIN 22	Dublin	265,000.00	243800	07/01/21
11 PARK HOUSE, WILLANS AVENUE, ONGAR	Dublin	155,000.00	141050	07/01/21
11 THOMOND LODGE, BALLYMAHON, LONGFORD	Longford	56,000.00	56560	07/01/21
12  14  16, St. Angelas Students Residence, St Angelas	Sligo	165,000.00	161700	07/01/21
12 MCDERMOTT PLACE, FERMOY, CORK	Cork	150,000.00	190500	07/01/21
14 GLEANN BHEARU, COIS BHEARU, ATHY	Kildare	125,000.00	158750	07/01/21
14 WHITTON RD, TERENURE, DUBLIN 6	Dublin	680,000.00	897600	07/01/21
15 DERBY BAWN, AUGHRIM, WICKLOW	Wicklow	200,000.00	248000	07/01/21
15 PARKLANDS CRESCENT, TUBBERCURRY, CO SLIGO	Sligo	80,000.00	105600	07/01/21
15 SHALIMAR, MONASTERY RD, CLONDALKIN DUBLIN 22	Dublin	250,000.00	330000	07/01/21
158 KYLEMORE, SCHOOLHOUSE ROAD, MONALEEN	Limerick	330,000.00	445500	07/01/21
159 LARCHVILLE, WATERFORD	Waterford	117,000.00	132210	07/01/21
16 KIRKPATRICK HOUSE, SPENCER DOCK, DUBLIN 1	Dublin	450,000.00	490500	07/01/21
16 LIMEWORTH, KILLUMNEY RD, BALLINCOLLIG	Cork	755,000.00	943750	07/01/21
16 SPANGLE HILL, FARRANREE, CORK	Cork	98,000.00	112700	07/01/21
16A ST JOHNS WOOD COURT, ASHBOURNE, MEATH	Meath	248,000.00	285200	07/01/21
17 CLUAIN BARRON, BALLYSHANNON, DONEGAL	Donegal	83,000.00	100430	07/01/21
18 NEWCASTLE MANOR PARK, NEWCASTLE, DUBLIN	Dublin	270,000.00	332100	07/01/21
18 TYCOR AVE, WATERFORD, WATERFORD	Waterford	90,000.00	122400	07/01/21
19 ABBYGATE, MONASTEREVIN, KILDARE	Kildare	239,000.00	301140	07/01/21
2 ST ALPHONSUS AVE, SOUTH CIRCULAR RD, LIMERICK	Limerick	250,000.00	272500	07/01/21
2 SUNNYHILL UPPER, KILLARNEY, KERRY	Kerry	222,000.00	226440	07/01/21
2 THE GROVE, SHANNONVALE, CO LIMERICK	Limerick	139,000.00	151510	07/01/21
207LAUREL PARK, NEWCASTLE, GALWAY	Galway	250,000.00	292500	07/01/21
23 Gracepark View, Drumcondra, Dublin 9	Dublin	669,603.52	816916.2944	07/01/21
24 CARRIGMORE TERRACE, CITYWEST, SAGGART	Dublin	207,000.00	188370	07/01/21
24 MAHONS LANE, ARKLOW, CO WICKLOW	Wicklow	160,000.00	177600	07/01/21
24 Maple Hill, Castle Heights, Carrigaline	Cork	281,938.32	312951.5352	07/01/21
25 MEADOWBANK, BAILE NA NDEISE, WATERFORD	Waterford	169,000.00	212940	07/01/21
27 BROWNSBARN WOOD, KINGSWOOD, DUBLIN 22	Dublin	403,000.00	483600	07/01/21
28 ALEXANDRA WALK, ADELAIDE SQUARE, DUBLIN 8	Dublin	400,000.00	452000	07/01/21
29 Bracken Court, Old Tramore Road, Waterford	Waterford	177,295.48	214527.5308	07/01/21
3 ARDNAHINCH BAY, SHANAGARRY, CO CORK	Cork	286,343.00	263435.56	07/01/21
3 CUFFE LANE, CUFFE ST, DUBLIN 2	Dublin	540,000.00	523800	07/01/21
3 ENNAFORT RD, RAHENY, DUBLIN 5	Dublin	670,000.00	804000	07/01/21
3 THE WOODS, RATHDRUM, WICKLOW	Wicklow	255,000.00	265200	07/01/21
30 Bracken Court, Old Tramore Road, Waterford	Waterford	175,036.38	234548.7492	07/01/21
31 Bracken Court, Old Tramore Road, Waterford	Waterford	177,295.48	168430.706	07/01/21
33 CAIRNBROOK AVE, CARRICKMINES, DUBLIN 18	Dublin	425,000.00	578000	07/01/21
34 Stracomer Hill, Bundoran	Donegal	220,000.00	275000	07/01/21
36 ALEXANDRA PLACE, 55 58 EAST RD, DUBLIN 3	Dublin	350,000.00	381500	07/01/21
38 FERNWOOD AVE, SPRINGFIRELD, TALLAGHT	Dublin	300,000.00	351000	07/01/21
4 GOLDEN RIDGE WAY, SKERRIES RD, RUSH	Dublin	262,000.00	293440	07/01/21
4 KNOCK, BALLYMAHON RD, LANESBORO	Longford	110,000.00	106700	07/01/21
41 Ard Aoibhinn, Innishannon	Cork	384,925.00	481156.25	07/01/21
41 DELGANY GLEN, GREYSTONES, WICKLOW	Wicklow	405,000.00	380700	07/01/21
41 LOGMORE, BELMULLET, CO MAYO	Mayo	125,000.00	142500	07/01/21
45 ST ANNS, AILSBURY ROAD, DUBLIN 4	Dublin	500,000.00	545000	07/01/21
5 DOIRE FEA, CLONATTIN, GOREY	Wexford	265,000.00	331250	07/01/21
5 HILLVIEW TERRACE, BALLYNONTY, CO. TIPPERARY	Tipperary	58,710.00	64581	07/01/21
53 THE CAMPION, MARINA VILLAGE, GREYSTONES	Wicklow	440,484.58	475723.3464	07/01/21
